Input File Name,Date Created,Time Range [min],,m/z Range,,Noise Limit[cts],alpha,SOM,SOM x size,SOM y size,,
GrobMix_MegaLAP_GC,250216_195247,2.0918,15,50,200,NaN,0.65,Talanta256SOM.h5,256,256,nan,nan
RT(ms),RT(min),TIC(cts),Rt(BMUs),Difference,x,y,H,S,L,R,G,B
125508,2.0918,49322,2.0918,0.883950368960587,73,6,0.567703991482071,0.738934388774904,0.995912350621862,0.992891845927101,0.996478852627115,0.998932855316622
125787,2.09645,45828,2.09645,0.866931889202194,75,6,0.565534897616401,0.734467630435124,0.996377041783931,0.99371609624781,0.996945369800782,0.999037987320053
126067,2.10111666666667,48182,2.10111666666667,0.784766343706544,73,6,0.567703991482071,0.738934388774904,0.996063979915563,0.993155519320263,0.996609467814421,0.998972440510862
126346,2.10576666666667,47717,2.10576666666667,0.829767732710344,75,6,0.565534897616401,0.734467630435124,0.996125825137686,0.993280369106672,0.996733561132727,0.998971281168701
126625,2.11041666666667,46114,2.11041666666667,0.837572364355348,74,5,0.56614348403048,0.741707364962561,0.996339009056646,0.993623625110899,0.996899133546567,0.999054393002393
126905,2.11508333333333,47248,2.11508333333333,0.836672039924749,75,6,0.565534897616401,0.734467630435124,0.996188200267503,0.993388556750282,0.996786151569561,0.998987843784723
127184,2.11973333333333,46655,2.11973333333333,1.00753688439903,73,5,0.567218897737839,0.743942652500118,0.996267063892485,0.993489973503046,0.996804078823166,0.999044154281923
127463,2.12438333333333,45508,2.12438333333333,0.987608975744725,72,6,0.568778635084394,0.74121877004337,0.996419594957782,0.993765731536132,0.996883109133334,0.999073458379432
127743,2.12905,45874,2.12905,0.994167811489695,73,5,0.567218897737839,0.743942652500118,0.996370924684744,0.99367110076859,0.996892998348137,0.999070748600898
128022,2.1337,47257,2.1337,0.911347400602676,74,5,0.56614348403048,0.741707364962561,0.996187003323182,0.993358875605408,0.996770384394515,0.999015131040956
128301,2.13835,47239,2.13835,1.01613086035629,75,6,0.565534897616401,0.734467630435124,0.996189397211049,0.993390632810119,0.99678716075037,0.998988161611979
128580,2.143,47671,2.143,1.02004633217616,73,6,0.567703991482071,0.738934388774904,0.996131943047278,0.993273702747171,0.996668012024199,0.998990183347384
128860,2.14766666666667,46302,2.14766666666667,0.859730475012474,73,5,0.567218897737839,0.743942652500118,0.996314008096791,0.993571841503223,0.99684426970036,0.999056174690358
129139,2.15231666666667,46148,2.15231666666667,0.937288487368134,73,6,0.567703991482071,0.738934388774904,0.996334487631481,0.993625914489902,0.996842486218187,0.999043060773059
129418,2.15696666666667,47433,2.15696666666667,0.864793482078806,76,6,0.564440529204578,0.732285875563837,0.996163596256375,0.993354251981958,0.996800512949657,0.998972940530792
129698,2.16163333333333,46104,2.16163333333333,0.909875059629628,73,5,0.567218897737839,0.743942652500118,0.996340338885474,0.993617760888682,0.99686681257887,0.999062916882266
129977,2.16628333333333,47695,2.16628333333333,0.98320095901921,73,5,0.567218897737839,0.743942652500118,0.996128751096972,0.993248763919565,0.996685663511606,0.999008738274379
130256,2.17093333333333,46150,2.17093333333333,0.837625393840195,75,6,0.565534897616401,0.734467630435124,0.996334221664951,0.993641826137507,0.996909266809588,0.999026617192395
130536,2.1756,46563,2.1756,0.978180705716095,75,6,0.565534897616401,0.734467630435124,0.996279298757374,0.993546564132145,0.996862959576077,0.999012033382602
130815,2.18025,47135,2.18025,0.956459479942981,72,6,0.568778635084394,0.74121877004337,0.996203228502519,0.99338899020302,0.996694753173517,0.999017466802018
131094,2.1849,46854,2.1849,1.03852811435892,72,6,0.568778635084394,0.74121877004337,0.996240599071005,0.993454060538315,0.996727285801033,0.999027137603695
131374,2.18956666666667,45846,2.18956666666667,0.908557593939594,72,6,0.568778635084394,0.74121877004337,0.996374648138832,0.993687469291322,0.996843981066029,0.999061826986341
131653,2.19421666666667,44761,2.19421666666667,0.843318979783959,75,6,0.565534897616401,0.734467630435124,0.996518926214926,0.993962190200633,0.997064997034073,0.999075662229219
131932,2.19886666666667,45657,2.19886666666667,0.902286986637916,72,6,0.568778635084394,0.74121877004337,0.996399781257949,0.993731231550079,0.996865860487073,0.999068330965819
132212,2.20353333333333,44461,2.20353333333333,0.827258207489841,75,6,0.565534897616401,0.734467630435124,0.996558816785581,0.994031379104193,0.997098630030789,0.999086254466968
132491,2.20818333333333,43791,2.20818333333333,0.959907962740975,71,6,0.569846626751886,0.743536736413426,0.996647902622564,0.994155495078405,0.997051275053317,0.999140310166723
132770,2.21283333333333,45753,2.21283333333333,0.96925919939941,73,6,0.567703991482071,0.738934388774904,0.996387015271851,0.993717256610103,0.996887734121269,0.999056773933599
133050,2.2175,45898,2.2175,1.05288893517435,72,6,0.568778635084394,0.74121877004337,0.996367733146706,0.993675428777238,0.996837961279009,0.999060037516174
133329,2.22215,44752,2.22215,0.862477681866652,72,6,0.568778635084394,0.74121877004337,0.996520122944556,0.993940772753618,0.996970622909045,0.999099473135494
133608,2.2268,44364,2.2268,0.848566130099748,73,6,0.567703991482071,0.738934388774904,0.996571714552817,0.994038436541357,0.997046836169362,0.999104992564277
133888,2.23146666666667,42910,2.23146666666667,0.773540792721394,74,5,0.56614348403048,0.741707364962561,0.996765037324572,0.994365641682828,0.997259980318566,0.999164432966316
