Input File Name,Date Created,Minimum TIC Intensity,Maximum BMU Distance
GrobMix_VF200_GC,250216_200118,NaN,NaN
x,y,totalized TIC(cts),log totalized TIC
54,237,16225,4.21018470547241
23,96,16232,4.21037203402529
22,97,16274,4.2114943116596
70,8,16513,4.21782598089985
126,31,16542,4.21858801648942
67,9,16607,4.22029118566516
69,131,16713,4.22305441317911
69,130,16730,4.22349594096239
55,244,16783,4.22486959457326
127,31,16992,4.23024449940138
35,200,17044,4.23157152552842
63,131,17103,4.23307229572379
207,91,17161,4.23454259131153
208,85,17678,4.24743312956304
143,4,17717,4.24839018517251
52,235,17744,4.24905152880508
8,171,17830,4.25115134317535
210,83,17934,4.25367716542292
4,18,17972,4.25459640992099
1,13,18116,4.25806231201092
56,240,18139,4.25861334080274
160,148,18200,4.26007138798508
120,25,18298,4.26240362325878
1,28,18316,4.26283063485566
34,191,18353,4.26370706460743
132,45,18364,4.26396728409398
208,91,18449,4.26597283086083
206,85,18559,4.26855457176528
62,130,18564,4.26867155974699
23,44,18592,4.26932611071024
69,135,18742,4.2728159335431
212,16,18776,4.27360307659054
1,201,18785,4.2738111993994
101,22,18822,4.27466576908139
4,20,18845,4.27519614178562
81,8,18950,4.27760921430409
166,80,19061,4.28014568135422
5,27,19104,4.28112430944928
35,187,19119,4.28146517319953
69,30,19126,4.2816241514402
36,102,19285,4.28521964320206
35,103,19440,4.28869626059026
50,234,19462,4.28918746822073
1,27,19463,4.28920978264499
59,223,19534,4.29079118338276
66,13,19591,4.29205660462147
185,44,19676,4.29393681388729
53,241,19818,4.29705982407506
1,196,19892,4.29867845056019
34,199,20021,4.3014857656326
54,245,20139,4.30403790190458
121,18,20171,4.30472742938363
17,100,20199,4.30532986918761
34,192,20388,4.30937462491667
211,92,20451,4.31071454871812
147,1,20474,4.31120269895076
69,27,20549,4.31279069214644
214,91,20684,4.31563452910003
175,103,20791,4.31787537841456
172,147,20847,4.31904356639911
156,12,20853,4.3191685432293
69,133,21130,4.32489949705231
67,135,21234,4.32703181302116
51,234,21248,4.32731805768792
65,17,21503,4.33249905491818
40,246,21504,4.33251925137373
30,8,21641,4.33527732503193
13,100,21708,4.33661981290744
