Input File Name,Date Created,Time Range [min],,m/z Range,,Noise Limit[cts],alpha,SOM,SOM x size,SOM y size,,
GrobMix_VF200_GC,250216_195941,2.0919,15,50,200,NaN,0.65,Talanta256SOM.h5,256,256,nan,nan
RT(ms),RT(min),TIC(cts),Rt(BMUs),Difference,x,y,H,S,L,R,G,B
142271,2.37118333333333,19006,2.37118333333333,1.58421814098186,70,7,0.571416538280031,0.74093360754915,0.988792101129886,0.980487792187007,0.989979630102666,0.997096410072766
142550,2.37583333333333,19783,2.37583333333333,1.87328061664782,70,7,0.571416538280031,0.74093360754915,0.988223508880534,0.979497910831118,0.989471282844603,0.996949106929951
142830,2.3805,20526,2.3805,1.47378476782334,54,234,0.902143742644502,0.709631923245815,0.987679632303725,0.996422558527128,0.978936706080322,0.989203306543012
143109,2.38515,19514,2.38515,1.74950392168901,53,235,0.901851118008444,0.717290804553709,0.988420377351708,0.99672633419753,0.980114420505886,0.989897065045336
143388,2.3898,19962,2.3898,1.84032102067348,70,7,0.571416538280031,0.74093360754915,0.988092495481704,0.979269825202056,0.989354150924249,0.996915165761353
143668,2.39446666666667,19442,2.39446666666667,1.73056533472513,70,6,0.57090793276944,0.745887974771889,0.988473067189589,0.9798752666203,0.989755040582092,0.997070867758878
143947,2.39911666666667,19827,2.39911666666667,1.52236053261936,53,235,0.901851118008444,0.717290804553709,0.98819130533661,0.996661573432442,0.979721037240779,0.989697205366074
144226,2.40376666666667,19413,2.40376666666667,1.84333187625753,81,10,0.560675219824535,0.701459223953338,0.988494289058169,0.980423501989881,0.990688714772153,0.996565076126457
144506,2.40843333333333,19003,2.40843333333333,1.67461583756111,53,233,0.900423164026116,0.708354495328296,0.988794296125537,0.996731906838331,0.980856685412744,0.990341511332412
144785,2.41308333333333,18157,2.41308333333333,1.55077863910249,83,9,0.557901356540863,0.702577327830848,0.98941318025051,0.981975120720687,0.991683154938632,0.996851239780334
145064,2.41773333333333,18391,2.41773333333333,1.79569408227018,81,9,0.560214731385639,0.706562216254844,0.989242020393736,0.981640838480709,0.991350764781487,0.996843202306762
145344,2.4224,20312,2.4224,1.81158851150264,54,235,0.90285010302867,0.714127201346465,0.987836297001526,0.996522728181836,0.979149865821216,0.989276496551804
145623,2.42705,19910,2.42705,1.70797617496265,53,235,0.901851118008444,0.717290804553709,0.988130556203939,0.996644399094021,0.979616713313858,0.989644203247217
145902,2.4317,19743,2.4317,1.79340618660003,70,7,0.571416538280031,0.74093360754915,0.988252784339208,0.979548877461,0.989497456432376,0.996956691217417
146182,2.43636666666667,19001,2.43636666666667,1.72877324056769,71,6,0.569846626751886,0.743536736413426,0.988795759454514,0.980464995005332,0.990144014363217,0.997126523903696
146461,2.44101666666667,19167,2.44101666666667,1.76208059401303,165,77,0.401870431756676,0.346829098926045,0.988674299180925,0.984746216571139,0.992602381790711,0.987976849184442
146740,2.44566666666667,19298,2.44566666666667,1.57782955878174,70,7,0.571416538280031,0.74093360754915,0.988578442328691,0.980115826399458,0.989788609444413,0.997041058257925
147019,2.45031666666667,19062,2.45031666666667,1.51304279601078,54,235,0.90285010302867,0.714127201346465,0.98875112739612,0.996784253307032,0.980718001485209,0.990083009740442
147299,2.45498333333333,19126,2.45498333333333,1.63436253911105,69,30,0.586484814756998,0.632286053860539,0.988704299152262,0.981562185037656,0.988434200272767,0.995846413266867
147578,2.45963333333333,18158,2.45963333333333,1.58680057631025,54,235,0.90285010302867,0.714127201346465,0.989412448832053,0.996973307116732,0.981851590547375,0.990666029787831
147857,2.46428333333333,19419,2.46428333333333,1.77040733044567,81,10,0.560675219824535,0.701459223953338,0.988489898346867,0.980416031373637,0.99068516147888,0.996563765320098
148137,2.46895,23869,2.46895,0.783620121085481,66,16,0.580707233608547,0.707117454738118,0.985230555339791,0.974786823223768,0.985559670724218,0.995674287455813
148416,2.4736,32461,2.4736,0.305601556512282,24,44,0.64177934773027,0.738403075262951,0.978920967846823,0.963356145681351,0.968004546002396,0.994485790012296
148695,2.47825,45818,2.47825,0.182830656249602,172,148,0.18292905010994,0.261927174429737,0.96906842994804,0.975589190096317,0.977170248692426,0.960966611203655
148975,2.48291666666667,51199,2.48291666666667,0.162236384330961,164,150,0.163331903877832,0.228038527136782,0.965083975945906,0.973046174644674,0.972727550117418,0.957121777247138
149254,2.48756666666667,45716,2.48756666666667,0.177421676990844,164,151,0.16009267204243,0.230932699820522,0.969143872360754,0.976269561222492,0.975707430339239,0.962018183499016
149533,2.49221666666667,42720,2.49221666666667,0.194947363946432,172,148,0.18292905010994,0.261927174429737,0.9713583999813,0.977396405930273,0.978860413345345,0.963856386617255
149813,2.49688333333333,34228,2.49688333333333,0.278028146643215,161,148,0.163989565188685,0.208248281958761,0.97762064599159,0.982281108015188,0.982131389657931,0.972960183967991
150092,2.50153333333333,31317,2.50153333333333,0.325288044494766,169,146,0.185085796768105,0.24241294965336,0.979762332944909,0.983583862649423,0.984668205509837,0.974856460379982
150371,2.50618333333333,28947,2.50618333333333,0.342682878353018,24,47,0.644581050465265,0.728151553884537,0.981504134279452,0.968036340914595,0.971605675098627,0.994971927644309
150651,2.51085,27875,2.51085,0.449297879618519,65,18,0.583011907809506,0.700253115518943,0.982291440502261,0.969890966542617,0.982339270448319,0.994691914461905
150930,2.5155,25077,2.5155,0.554636716578983,66,17,0.581311922731944,0.702319461850791,0.984344769801039,0.973349796952554,0.984611474057174,0.995339742649523
151209,2.52015,25235,2.52015,0.527582918660083,66,18,0.581924921730853,0.697531746499551,0.984228882007161,0.973228026529366,0.984414806797067,0.995229737484957
151489,2.52481666666667,25073,2.52481666666667,0.700939642443716,66,17,0.581311922731944,0.702319461850791,0.984347703573888,0.973354791171172,0.98461435784994,0.995340615976604
151768,2.52946666666667,24352,2.52946666666667,0.75785751127911,158,91,0.393914028276704,0.26215759204582,0.984876439248624,0.980911682978885,0.988841195518364,0.983793935260108
152047,2.53411666666667,23973,2.53411666666667,0.671490443904195,32,135,0.760704112371117,0.531421231736552,0.985154312530786,0.986167689712286,0.97726499900992,0.993043626051652
152327,2.53878333333333,23714,2.53878333333333,0.689116593010287,66,16,0.580707233608547,0.707117454738118,0.985344180553876,0.974980794810031,0.985670763967273,0.995707566297721
152606,2.54343333333333,21498,2.54343333333333,0.645715533934224,66,17,0.581311922731944,0.702319461850791,0.986967883968946,0.97781517525124,0.987189900558147,0.996120592686653
152885,2.54808333333333,21607,2.54808333333333,0.853074809285206,157,12,0.461815053553249,0.658985710319293,0.986888051335887,0.978247464531797,0.995528638139978,0.991569354007385
