Input File Name,Date Created,Minimum TIC Intensity,Maximum BMU Distance
GrobMix_MegaLAP_GC,250216_195433,NaN,NaN
x,y,totalized TIC(cts),log totalized TIC
28,9,120628,5.08144812732382
11,109,121045,5.08294685476695
144,5,121446,5.0843832152586
29,10,124113,5.09381727330029
1,106,125136,5.09738226854392
2,201,126874,5.1033726322331
208,93,127795,5.10651386231308
211,91,128793,5.10989225942141
79,8,132361,5.12176003963651
75,5,132407,5.12191094568534
204,83,137137,5.13715464463573
70,31,138878,5.14263345354657
1,202,141115,5.14957318009728
210,71,142755,5.15459132836714
12,108,142823,5.15479815119892
33,189,143837,5.15787061642869
1,153,144612,5.16020433249896
21,107,146820,5.16678521973543
79,9,149755,5.17538133146975
1,8,150656,5.1779864324913
212,91,157154,5.19632543947908
147,1,160630,5.20582665935934
74,6,160952,5.20669637762659
50,248,161186,5.20732731794806
1,201,161646,5.20856496227624
121,20,165518,5.21884522998845
10,108,168074,5.22550053598641
153,6,173244,5.23865820252186
48,245,177933,5.2502565011408
31,11,179433,5.25390231830634
35,199,180339,5.25608965713403
47,244,181473,5.25881201877557
205,84,183046,5.26256024293124
18,1,185909,5.26930041481614
44,244,194976,5.28998115644437
51,248,197219,5.29494875237835
199,235,197578,5.29573858493521
11,108,198945,5.29873302868122
11,106,200055,5.30114941022775
34,189,210711,5.32368720819758
211,92,217718,5.33789433614957
7,168,217821,5.33809974752476
79,6,220260,5.34293563488763
212,90,224084,5.35041084823618
1,105,225066,5.35230989247873
199,234,228638,5.35914841249324
42,170,229016,5.35986582499915
62,131,235766,5.37248117532632
78,6,241798,5.38345270433056
124,26,242476,5.38466875908929
205,83,246736,5.39223251982095
7,170,247729,5.39397684955219
211,94,250344,5.39853718711453
78,8,251246,5.4000991562325
44,225,252972,5.40307245430451
113,8,260216,5.41533399667629
41,168,262625,5.41933606541401
79,7,274925,5.43921423372627
70,6,288389,5.45997869110145
47,245,288643,5.46036102970842
52,249,293547,5.46767764632123
210,92,294872,5.46963353544491
7,169,312661,5.49507371257934
49,246,315480,5.49897183215399
78,7,316010,5.49970082589721
53,249,319075,5.50389277790902
