Input File Name,Date Created,Minimum TIC Intensity,Maximum BMU Distance
GrobMix_VF23_GC,250216_195732,NaN,NaN
x,y,totalized TIC(cts),log totalized TIC
72,26,1744,3.24154648059655
82,139,1767,3.24723654950676
163,167,1863,3.27021285489624
130,9,1868,3.27137687189407
77,141,1868,3.27137687189407
68,16,1951,3.29025726939452
62,17,1972,3.29490691060519
25,30,1978,3.29622628726116
158,90,2003,3.30168094929358
73,147,2003,3.30168094929358
73,146,2024,3.30621050816776
165,163,2031,3.30770992340481
73,149,2032,3.30792370361188
164,165,2058,3.31344537042641
66,14,2085,3.31910605930978
65,12,2139,3.33021078457153
60,68,2143,3.33102217104183
73,145,2166,3.3356584522893
164,170,2168,3.33605927786635
70,7,2203,3.34301449715077
125,7,2234,3.34908316877959
74,6,2236,3.34947179921439
69,29,2244,3.35102285258412
154,178,2250,3.35218251811136
28,37,2252,3.35256838617931
53,244,2258,3.35372393758895
165,160,2262,3.35449260058944
67,8,2274,3.35679046035172
76,7,2338,3.36884450682582
25,16,2338,3.36884450682582
65,9,2340,3.36921585741014
124,6,2346,3.37032800777951
78,11,2357,3.37235958252432
128,7,2372,3.37511468469223
105,17,2377,3.37602918172818
17,35,2380,3.37657695705651
26,1,2390,3.37839790094814
29,1,2394,3.37912414607039
75,2,2401,3.38039216005703
72,145,2433,3.38614210893082
159,175,2439,3.38721180031373
68,134,2447,3.38863396935179
27,5,2451,3.38934331125208
157,13,2460,3.39093510710338
42,244,2493,3.39672227850377
54,249,2500,3.39794000867204
104,10,2504,3.39863432453839
165,164,2521,3.40157284567645
66,10,2529,3.4029488293444
67,22,2539,3.40466270087372
29,2,2556,3.40756084948636
60,18,2557,3.40773072802634
27,6,2558,3.40790054014264
129,8,2607,3.41614103116833
23,26,2607,3.41614103116833
74,22,2610,3.41664050733828
28,4,2624,3.41896383070362
30,5,2634,3.42061577062577
80,141,2658,3.42455497660671
26,2,2666,3.42586014507784
174,159,2666,3.42586014507784
75,5,2677,3.42764837118693
165,158,2678,3.42781057267599
28,6,2692,3.43007505555194
29,33,2706,3.4323277922616
24,20,2722,3.43488812086732
31,7,2726,3.43552585149865
80,7,2733,3.43663963169266
24,26,2743,3.43822580760453
52,215,2743,3.43822580760453
129,7,2749,3.43917473984347
69,20,2767,3.44200915914095
82,144,2808,3.44839710345777
213,97,2817,3.44978684698577
26,32,2818,3.44994098877334
68,7,2828,3.45147940512486
53,249,2832,3.45209324901773
20,26,2862,3.45666962942376
78,141,2862,3.45666962942376
72,137,2865,3.45712462630341
69,22,2878,3.45909078960059
166,166,2887,3.46044678388072
33,7,2890,3.46089784275655
73,140,2919,3.46523409498801
22,17,2926,3.46627432178929
28,34,2927,3.46642272243379
80,145,2934,3.46746010950726
57,252,2961,3.4714384073893
22,26,2973,3.47319490920494
74,140,3001,3.47726599542485
77,142,3011,3.47871075551276
205,81,3024,3.48058178682917
204,85,3026,3.48086892368717
24,28,3046,3.48372989900002
76,140,3082,3.4888326343824
75,4,3109,3.49262072204319
207,84,3113,3.49317912068252
208,85,3144,3.49748253736737
23,50,3146,3.49775871828727
25,19,3152,3.49858620881752
29,3,3168,3.50078517291746
25,14,3168,3.50078517291746
165,161,3196,3.50460677064195
26,8,3199,3.50501424008411
165,168,3265,3.51388318561109
204,83,3274,3.51507867507592
65,22,3288,3.51693180886801
71,141,3296,3.51798720302508
20,1,3324,3.52166101511207
238,52,3351,3.52517442783527
61,20,3360,3.52633927738984
68,23,3363,3.52672686731464
25,17,3413,3.53313628827864
71,134,3415,3.53339070801755
71,27,3444,3.53706314278162
158,91,3464,3.53957788334531
171,159,3472,3.54057971650445
209,85,3495,3.5434471800817
206,87,3502,3.54431614174743
213,95,3504,3.54456409749604
155,178,3516,3.54604886640173
61,17,3556,3.55096175229818
3,26,3596,3.55581968306119
73,150,3651,3.56241183294973
27,9,3663,3.56383691866455
70,29,3665,3.56407397897715
65,16,3760,3.57518784492766
26,13,3776,3.57703198562603
75,137,3776,3.57703198562603
31,6,3809,3.58081097266095
78,149,3838,3.58410497039945
79,148,3840,3.58433122436753
70,8,3854,3.58591171031943
207,87,3858,3.58636222330787
37,187,3968,3.59857166348214
170,159,3993,3.60129931019434
157,175,4015,3.6036855496147
232,51,4018,3.60400993241223
80,6,4021,3.60433407310291
28,2,4034,3.60573589387675
157,176,4042,3.60659630917928
28,9,4145,3.61752453488629
32,188,4191,3.62231766083384
166,159,4197,3.62293896921149
28,12,4263,3.62971533264713
28,208,4274,3.63083451782805
244,5,4299,3.63336744511701
128,8,4312,3.63467875217868
74,5,4319,3.6353832040475
77,148,4361,3.63958608667343
207,93,4370,3.64048143697042
32,6,4396,3.64305768375145
70,139,4408,3.64424158584373
207,85,4447,3.64806712944893
26,10,4490,3.65224634100332
63,128,4529,3.65600232068296
35,187,4565,3.65944078187032
26,9,4566,3.65953590715422
206,84,4601,3.6628522332648
212,13,4602,3.66294661433262
36,192,4613,3.66398345460827
80,139,4633,3.66586230020316
127,7,4661,3.66847910293259
77,6,4702,3.67228262478892
60,20,4733,3.67513650446799
206,83,4787,3.68006342748195
207,91,4892,3.68948644836425
101,17,4910,3.69108149212297
213,14,4919,3.69187682255933
29,4,4921,3.69205336503408
30,1,4923,3.69222983577276
111,8,4944,3.69407846208076
32,8,4980,3.69722934275972
79,6,5000,3.69897000433602
73,141,5001,3.69905685454767
240,46,5015,3.70027093735644
36,191,5020,3.70070371714502
211,15,5030,3.70156798505593
164,166,5044,3.70277507790104
30,190,5057,3.70389295363254
34,189,5124,3.70960912107265
71,26,5141,3.71104760386703
30,3,5142,3.71113207230684
33,190,5144,3.71130095991617
31,194,5183,3.71458120883953
84,11,5184,3.71466499286254
239,47,5192,3.71533468379231
233,48,5237,3.71908257390149
78,142,5290,3.72345567203519
243,9,5292,3.72361983551546
